SPEC,YEAR,POP
NOCA,2005,49
NOCA,2006,34
NOCA,2007,30
NOCA,2008,44
NOCA,2009,66
NOCA,2010,54
NOCA,2011,43
NOCA,2012,48
NOCA,2013,29
NOCA,2014,30
HOWA,2005,75
HOWA,2006,88
HOWA,2007,68
HOWA,2008,89
HOWA,2009,71
HOWA,2010,83
HOWA,2011,116
HOWA,2012,46
HOWA,2013,44
HOWA,2014,40
